17:34:56.987 513  [main] INFO  Es3.RegistroPresenze - Mari
17:34:56.987 513  [main] INFO  Es3.RegistroPresenze - e
17:34:56.987 513  [main] INFO  Es3.RegistroPresenze - letter
17:34:56.988 514  [main] INFO  Es3.RegistroPresenze - Marie
17:34:56.988 514  [main] INFO  Es3.RegistroPresenze - l
17:34:56.988 514  [main] INFO  Es3.RegistroPresenze - letter
17:34:56.988 514  [main] INFO  Es3.RegistroPresenze - Mariel
17:34:56.988 514  [main] INFO  Es3.RegistroPresenze - l
17:34:56.988 514  [main] INFO  Es3.RegistroPresenze - letter
17:34:56.988 514  [main] INFO  Es3.RegistroPresenze - Mariell
17:34:56.989 515  [main] INFO  Es3.RegistroPresenze - o
17:34:56.989 515  [main] INFO  Es3.RegistroPresenze - letter
17:34:56.989 515  [main] INFO  Es3.RegistroPresenze - Mariello
17:34:56.989 515  [main] INFO  Es3.RegistroPresenze -  
17:34:56.989 515  [main] INFO  Es3.RegistroPresenze - letter
17:34:56.989 515  [main] INFO  Es3.RegistroPresenze - Mariello 
17:34:56.989 515  [main] INFO  Es3.RegistroPresenze - F
17:34:56.990 516  [main] INFO  Es3.RegistroPresenze - letter
17:34:56.990 516  [main] INFO  Es3.RegistroPresenze - Mariello F
17:34:56.990 516  [main] INFO  Es3.RegistroPresenze - a
17:34:56.990 516  [main] INFO  Es3.RegistroPresenze - letter
17:34:56.992 518  [main] INFO  Es3.RegistroPresenze - Mariello Fa
17:34:56.992 518  [main] INFO  Es3.RegistroPresenze - n
17:34:56.993 519  [main] INFO  Es3.RegistroPresenze - letter
